Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 551401     | RICARDO LEWANDOWSKI | S | 0.180998
 2    | RE 557542     | RICARDO LEWANDOWSKI | S | 0.165945
 3    | RE 485541     | RICARDO LEWANDOWSKI | S | 0.150829
 4    | MS 26810      | RICARDO LEWANDOWSKI | S | 0.060338
 5    | HC 112362     | RICARDO LEWANDOWSKI | S | 0.030185
 6    | RE 576189     | RICARDO LEWANDOWSKI | N | 0.030185
 7    | RE 542422     | RICARDO LEWANDOWSKI | S | 0.020585
 8    | RE 543163     | RICARDO LEWANDOWSKI | S | 0.020585
 9    | RE 536754     | RICARDO LEWANDOWSKI | S | 0.020585
 10   | RE 511222     | RICARDO LEWANDOWSKI | S | 0.020585
 11   | RE 542646     | RICARDO LEWANDOWSKI | S | 0.020585
 12   | RE 542594     | RICARDO LEWANDOWSKI | S | 0.020585
 13   | RE 510735     | RICARDO LEWANDOWSKI | S | 0.020585
 14   | RE 526512     | RICARDO LEWANDOWSKI | S | 0.020585
 15   | ADI 3741      | RICARDO LEWANDOWSKI | N | 0.015100
 16   | MS 30822      | RICARDO LEWANDOWSKI | N | 0.015100
 17   | HC 93901      | RICARDO LEWANDOWSKI | N | 0.000737
 18   | HC 98216      | RICARDO LEWANDOWSKI | N | 0.000668
 19   | HC 95006      | RICARDO LEWANDOWSKI | N | 0.000475
 20   | HC 119115     | RICARDO LEWANDOWSKI | N | 0.000368
 21   | HC 100299     | RICARDO LEWANDOWSKI | N | 0.000303
 22   | HC 93188      | RICARDO LEWANDOWSKI | N | 0.000301
 23   | HC 98689      | RICARDO LEWANDOWSKI | N | 0.000291
 24   | HC 88928      | RICARDO LEWANDOWSKI | N | 0.000242
 25   | HC 102487     | RICARDO LEWANDOWSKI | N | 0.000235
 26   | HC 109343     | RICARDO LEWANDOWSKI | N | 0.000212
 27   | HC 95367      | RICARDO LEWANDOWSKI | N | 0.000209
 28   | HC 90443      | RICARDO LEWANDOWSKI | N | 0.000175
 29   | HC 87263      | RICARDO LEWANDOWSKI | N | 0.000173
 30   | HC 110118     | RICARDO LEWANDOWSKI | N | 0.000170
 31   | HC 97938      | RICARDO LEWANDOWSKI | N | 0.000161
 32   | HC 91181      | RICARDO LEWANDOWSKI | N | 0.000159
 33   | HC 88904      | RICARDO LEWANDOWSKI | N | 0.000158
 34   | HC 93353      | RICARDO LEWANDOWSKI | N | 0.000155
 35   | HC 96922      | RICARDO LEWANDOWSKI | N | 0.000154
 36   | RHC 90399     | RICARDO LEWANDOWSKI | N | 0.000135
 37   | HC 97905      | RICARDO LEWANDOWSKI | N | 0.000126
 38   | HC 86631      | RICARDO LEWANDOWSKI | N | 0.000126
 39   | HC 90967      | RICARDO LEWANDOWSKI | N | 0.000123
 40   | HC 92569      | RICARDO LEWANDOWSKI | N | 0.000121
 41   | HC 92991      | RICARDO LEWANDOWSKI | N | 0.000118
 42   | MS 26053      | RICARDO LEWANDOWSKI | N | 0.000110
 43   | RHC 90197     | RICARDO LEWANDOWSKI | N | 0.000103
 44   | HC 96323      | RICARDO LEWANDOWSKI | N | 0.000098
 45   | HC 85496      | RICARDO LEWANDOWSKI | N | 0.000095
 46   | HC 92290      | RICARDO LEWANDOWSKI | N | 0.000094
 47   | HC 96099      | RICARDO LEWANDOWSKI | N | 0.000085
 48   | HC 90938      | RICARDO LEWANDOWSKI | N | 0.000080
 49   | HC 90580      | RICARDO LEWANDOWSKI | N | 0.000080
 50   | HC 115514     | RICARDO LEWANDOWSKI | N | 0.000079
 51   | RE 589998     | RICARDO LEWANDOWSKI | N | 0.000079
 52   | AGR AI 812481 | RICARDO LEWANDOWSKI | N | 0.000079
 53   | RE 562980     | RICARDO LEWANDOWSKI | N | 0.000079
 54   | HC 88420      | RICARDO LEWANDOWSKI | N | 0.000079
 55   | HC 94234      | RICARDO LEWANDOWSKI | N | 0.000079
 56   | HC 100902     | RICARDO LEWANDOWSKI | N | 0.000075
 57   | HC 91777      | RICARDO LEWANDOWSKI | N | 0.000070
 58   | HC 90367      | RICARDO LEWANDOWSKI | N | 0.000068
 59   | HC 96072      | RICARDO LEWANDOWSKI | N | 0.000065
 60   | HC 90138      | RICARDO LEWANDOWSKI | N | 0.000065
 61   | HC 108778     | RICARDO LEWANDOWSKI | N | 0.000063
 62   | HC 91253      | RICARDO LEWANDOWSKI | N | 0.000063
 63   | HC 111469     | RICARDO LEWANDOWSKI | N | 0.000063
