Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 2602  | JOAQUIM BARBOSA | N | 0.409354
 2    | HC 83520  | JOAQUIM BARBOSA | N | 0.153525
 3    | HC 83508  | JOAQUIM BARBOSA | N | 0.153515
 4    | ADI 4167  | JOAQUIM BARBOSA | N | 0.102353
 5    | AP 470    | JOAQUIM BARBOSA | N | 0.000332
 6    | INQ 2245  | JOAQUIM BARBOSA | N | 0.000206
 7    | HC 83592  | JOAQUIM BARBOSA | N | 0.000164
 8    | HC 90866  | JOAQUIM BARBOSA | N | 0.000161
 9    | HC 99440  | JOAQUIM BARBOSA | N | 0.000155
 10   | INQ 2280  | JOAQUIM BARBOSA | N | 0.000148
 11   | HC 84301  | JOAQUIM BARBOSA | N | 0.000142
 12   | HC 83736  | JOAQUIM BARBOSA | N | 0.000142
 13   | HC 89528  | JOAQUIM BARBOSA | N | 0.000135
 14   | RE 514531 | JOAQUIM BARBOSA | N | 0.000116
 15   | RE 482090 | JOAQUIM BARBOSA | N | 0.000116
 16   | HC 92279  | JOAQUIM BARBOSA | N | 0.000103
 17   | HC 83458  | JOAQUIM BARBOSA | N | 0.000097
 18   | HC 84104  | JOAQUIM BARBOSA | N | 0.000097
 19   | ADI 1922  | JOAQUIM BARBOSA | N | 0.000097
 20   | ADI 1976  | JOAQUIM BARBOSA | N | 0.000097
 21   | HC 84409  | JOAQUIM BARBOSA | N | 0.000087
 22   | ADI 124   | JOAQUIM BARBOSA | N | 0.000077
 23   | HC 92719  | JOAQUIM BARBOSA | N | 0.000077
 24   | HC 91587  | JOAQUIM BARBOSA | N | 0.000077
 25   | RHC 86680 | JOAQUIM BARBOSA | N | 0.000077
 26   | HC 83806  | JOAQUIM BARBOSA | N | 0.000071
 27   | ACO 730   | JOAQUIM BARBOSA | N | 0.000068
 28   | ADI 2568  | JOAQUIM BARBOSA | S | 0.000068
 29   | ADI 2556  | JOAQUIM BARBOSA | N | 0.000068
 30   | HC 100240 | JOAQUIM BARBOSA | N | 0.000065
 31   | HC 92008  | JOAQUIM BARBOSA | N | 0.000065
 32   | RHC 87303 | JOAQUIM BARBOSA | N | 0.000064
 33   | HC 84238  | JOAQUIM BARBOSA | N | 0.000064
