Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | MI 879     | CÁRMEN LÚCIA | S | 0.745662
 2    | AR 1685    | CÁRMEN LÚCIA | N | 0.042734
 3    | RCL 5758   | CÁRMEN LÚCIA | N | 0.021373
 4    | ADI 1264   | CÁRMEN LÚCIA | N | 0.000769
 5    | RE 563965  | CÁRMEN LÚCIA | N | 0.000759
 6    | HC 93895   | CÁRMEN LÚCIA | N | 0.000677
 7    | HC 90893   | CÁRMEN LÚCIA | N | 0.000590
 8    | RHC 89721  | CÁRMEN LÚCIA | N | 0.000545
 9    | RE 565714  | CÁRMEN LÚCIA | N | 0.000538
 10   | MI 795     | CÁRMEN LÚCIA | N | 0.000509
 11   | HC 93302   | CÁRMEN LÚCIA | N | 0.000506
 12   | HC 97462   | CÁRMEN LÚCIA | N | 0.000395
 13   | RHC 89624  | CÁRMEN LÚCIA | N | 0.000370
 14   | HC 89970   | CÁRMEN LÚCIA | N | 0.000308
 15   | HC 99447   | CÁRMEN LÚCIA | N | 0.000303
 16   | HC 95584   | CÁRMEN LÚCIA | N | 0.000238
 17   | HC 103525  | CÁRMEN LÚCIA | N | 0.000194
 18   | HC 105725  | CÁRMEN LÚCIA | N | 0.000179
 19   | MS 26085   | CÁRMEN LÚCIA | N | 0.000158
 20   | HC 91050   | CÁRMEN LÚCIA | N | 0.000154
 21   | ADI 3104   | CÁRMEN LÚCIA | N | 0.000153
 22   | HC 92871   | CÁRMEN LÚCIA | N | 0.000148
 23   | HC 106393  | CÁRMEN LÚCIA | N | 0.000142
 24   | HC 109739  | CÁRMEN LÚCIA | N | 0.000136
 25   | HC 102730  | CÁRMEN LÚCIA | N | 0.000129
 26   | HC 97677   | CÁRMEN LÚCIA | N | 0.000126
 27   | HC 107626  | CÁRMEN LÚCIA | N | 0.000110
 28   | RHC 98358  | CÁRMEN LÚCIA | N | 0.000108
 29   | RE 320179  | CÁRMEN LÚCIA | N | 0.000105
 30   | HC 102312  | CÁRMEN LÚCIA | N | 0.000102
 31   | RCL 6944   | CÁRMEN LÚCIA | N | 0.000095
 32   | RMS 30973  | CÁRMEN LÚCIA | N | 0.000095
 33   | HC 91767   | CÁRMEN LÚCIA | N | 0.000084
 34   | HC 97051   | CÁRMEN LÚCIA | N | 0.000084
 35   | MS 26163   | CÁRMEN LÚCIA | N | 0.000084
 36   | MS 25552   | CÁRMEN LÚCIA | N | 0.000084
 37   | ADI 3831   | CÁRMEN LÚCIA | N | 0.000084
 38   | RCL 3737   | CÁRMEN LÚCIA | N | 0.000081
