Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | INQ 2052  | MARCO AURÉLIO | N | 0.268383
 2    | EXT 1079  | MARCO AURÉLIO | N | 0.268383
 3    | EXT 974   | MARCO AURÉLIO | N | 0.268383
 4    | IF 2953   | MARCO AURÉLIO | S | 0.008044
 5    | HC 82959  | MARCO AURÉLIO | N | 0.001146
 6    | HC 109956 | MARCO AURÉLIO | N | 0.000950
 7    | RE 206048 | MARCO AURÉLIO | N | 0.000657
 8    | MI 721    | MARCO AURÉLIO | N | 0.000433
 9    | RE 452994 | MARCO AURÉLIO | N | 0.000405
 10   | RE 357950 | MARCO AURÉLIO | S | 0.000318
 11   | IF 2915   | MARCO AURÉLIO | N | 0.000290
 12   | MI 758    | MARCO AURÉLIO | N | 0.000279
 13   | RE 353657 | MARCO AURÉLIO | N | 0.000263
 14   | RE 358273 | MARCO AURÉLIO | S | 0.000230
 15   | HC 103716 | MARCO AURÉLIO | N | 0.000217
 16   | HC 104813 | MARCO AURÉLIO | N | 0.000163
 17   | RCL 655   | MARCO AURÉLIO | N | 0.000153
 18   | RE 390840 | MARCO AURÉLIO | N | 0.000153
 19   | RE 174478 | MARCO AURÉLIO | N | 0.000131
 20   | RE 136901 | MARCO AURÉLIO | N | 0.000131
 21   | RE 363852 | MARCO AURÉLIO | N | 0.000110
 22   | RE 164836 | MARCO AURÉLIO | N | 0.000096
 23   | RE 170484 | MARCO AURÉLIO | S | 0.000093
 24   | RE 201465 | MARCO AURÉLIO | N | 0.000091
 25   | RE 181966 | MARCO AURÉLIO | S | 0.000090
 26   | HC 105674 | MARCO AURÉLIO | N | 0.000088
 27   | ACO 765   | MARCO AURÉLIO | N | 0.000088
 28   | IF 2888   | MARCO AURÉLIO | S | 0.000080
 29   | PET 3528  | MARCO AURÉLIO | N | 0.000077
 30   | HC 104721 | MARCO AURÉLIO | N | 0.000076
 31   | HC 110055 | MARCO AURÉLIO | N | 0.000071
 32   | MS 25198  | MARCO AURÉLIO | N | 0.000066
 33   | HC 83255  | MARCO AURÉLIO | N | 0.000066
 34   | RE 386475 | MARCO AURÉLIO | N | 0.000066
 35   | RE 567985 | MARCO AURÉLIO | N | 0.000066
 36   | AO 183    | MARCO AURÉLIO | N | 0.000066
 37   | RE 423768 | MARCO AURÉLIO | N | 0.000066
 38   | HC 116567 | MARCO AURÉLIO | N | 0.000061
 39   | HC 116641 | MARCO AURÉLIO | N | 0.000060
 40   | ADPF 46   | MARCO AURÉLIO | N | 0.000058
 41   | HC 91595  | MARCO AURÉLIO | N | 0.000056
 42   | ADI 2906  | MARCO AURÉLIO | N | 0.000055
 43   | HC 124290 | MARCO AURÉLIO | N | 0.000055
 44   | RE 477323 | MARCO AURÉLIO | N | 0.000055
 45   | MS 23550  | MARCO AURÉLIO | N | 0.000055
 46   | HC 106212 | MARCO AURÉLIO | N | 0.000055
 47   | HC 84073  | MARCO AURÉLIO | N | 0.000055
 48   | HC 90320  | MARCO AURÉLIO | N | 0.000055
 49   | HC 101432 | MARCO AURÉLIO | N | 0.000054
 50   | HC 92175  | MARCO AURÉLIO | N | 0.000052
 51   | RE 388312 | MARCO AURÉLIO | N | 0.000051
 52   | HC 83157  | MARCO AURÉLIO | N | 0.000047
 53   | MS 26391  | MARCO AURÉLIO | N | 0.000046
 54   | RCL 3907  | MARCO AURÉLIO | N | 0.000044
 55   | HC 96324  | MARCO AURÉLIO | N | 0.000044
 56   | HC 104867 | MARCO AURÉLIO | S | 0.000044
 57   | HC 125705 | MARCO AURÉLIO | N | 0.000044
 58   | HC 96851  | MARCO AURÉLIO | N | 0.000043
 59   | HC 101798 | MARCO AURÉLIO | N | 0.000042
 60   | RE 591054 | MARCO AURÉLIO | N | 0.000040
 61   | HC 92423  | MARCO AURÉLIO | N | 0.000040
 62   | RE 413782 | MARCO AURÉLIO | N | 0.000038
 63   | RE 565048 | MARCO AURÉLIO | N | 0.000038
 64   | HC 115508 | MARCO AURÉLIO | N | 0.000038
 65   | RHC 83717 | MARCO AURÉLIO | N | 0.000038
 66   | RE 590809 | MARCO AURÉLIO | N | 0.000038
 67   | HC 91273  | MARCO AURÉLIO | N | 0.000038
 68   | HC 84105  | MARCO AURÉLIO | N | 0.000038
 69   | MS 24754  | MARCO AURÉLIO | N | 0.000038
 70   | RE 191088 | MARCO AURÉLIO | N | 0.000038
 71   | HC 82909  | MARCO AURÉLIO | N | 0.000036
 72   | ADI 1105  | MARCO AURÉLIO | N | 0.000036
 73   | HC 100738 | MARCO AURÉLIO | N | 0.000034
 74   | HC 101263 | MARCO AURÉLIO | N | 0.000033
 75   | RE 199293 | MARCO AURÉLIO | N | 0.000033
 76   | HC 101733 | MARCO AURÉLIO | N | 0.000033
 77   | RHC 83181 | MARCO AURÉLIO | N | 0.000033
 78   | ADI 4369  | MARCO AURÉLIO | N | 0.000033
 79   | HC 87102  | MARCO AURÉLIO | N | 0.000033
 80   | MS 26919  | MARCO AURÉLIO | N | 0.000033
 81   | RE 461366 | MARCO AURÉLIO | N | 0.000033
 82   | HC 101985 | MARCO AURÉLIO | N | 0.000033
 83   | RE 607607 | MARCO AURÉLIO | N | 0.000033
 84   | HC 113718 | MARCO AURÉLIO | N | 0.000033
 85   | RE 344994 | MARCO AURÉLIO | N | 0.000033
 86   | MS 33094  | MARCO AURÉLIO | N | 0.000033
 87   | MS 24742  | MARCO AURÉLIO | N | 0.000033
 88   | HC 86834  | MARCO AURÉLIO | N | 0.000033
 89   | ADI 3926  | MARCO AURÉLIO | N | 0.000033
 90   | MS 26353  | MARCO AURÉLIO | N | 0.000033
 91   | RE 567935 | MARCO AURÉLIO | N | 0.000033
 92   | RHC 84036 | MARCO AURÉLIO | N | 0.000033
 93   | HC 85598  | MARCO AURÉLIO | N | 0.000033
 94   | RE 219740 | MARCO AURÉLIO | N | 0.000033
 95   | HC 87585  | MARCO AURÉLIO | N | 0.000033
 96   | RE 564413 | MARCO AURÉLIO | N | 0.000033
