Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 527602 | EROS GRAU | N | 0.463277
 2    | ADI 1595  | EROS GRAU | S | 0.071288
 3    | ADI 1007  | EROS GRAU | N | 0.035653
 4    | ADI 2059  | EROS GRAU | N | 0.035653
 5    | ADI 1933  | EROS GRAU | N | 0.035653
 6    | ADI 2129  | EROS GRAU | N | 0.035653
 7    | ADI 3458  | EROS GRAU | N | 0.035653
 8    | EXT 1103  | EROS GRAU | N | 0.035653
 9    | ADI 559   | EROS GRAU | N | 0.035653
 10   | ADI 554   | EROS GRAU | N | 0.035653
 11   | HC 84677  | EROS GRAU | N | 0.000200
 12   | ADI 1074  | EROS GRAU | N | 0.000160
 13   | HC 87478  | EROS GRAU | N | 0.000160
 14   | ADI 2240  | EROS GRAU | N | 0.000151
 15   | RHC 86681 | EROS GRAU | N | 0.000124
 16   | HC 88741  | EROS GRAU | N | 0.000120
 17   | HC 99278  | EROS GRAU | S | 0.000116
 18   | HC 89863  | EROS GRAU | N | 0.000108
 19   | HC 86498  | EROS GRAU | N | 0.000100
 20   | HC 91688  | EROS GRAU | N | 0.000098
 21   | HC 98197  | EROS GRAU | N | 0.000095
 22   | HC 88443  | EROS GRAU | N | 0.000090
 23   | HC 90907  | EROS GRAU | N | 0.000090
 24   | HC 92961  | EROS GRAU | N | 0.000089
 25   | HC 86093  | EROS GRAU | N | 0.000089
 26   | RMS 24789 | EROS GRAU | N | 0.000089
 27   | HC 93641  | EROS GRAU | N | 0.000089
 28   | HC 86166  | EROS GRAU | N | 0.000089
 29   | HC 84078  | EROS GRAU | N | 0.000073
 30   | RE 461968 | EROS GRAU | N | 0.000071
 31   | HC 85453  | EROS GRAU | N | 0.000071
 32   | HC 86684  | EROS GRAU | N | 0.000071
 33   | MS 25351  | EROS GRAU | N | 0.000065
 34   | HC 88259  | EROS GRAU | N | 0.000062
 35   | HC 85519  | EROS GRAU | N | 0.000059
 36   | HC 85046  | EROS GRAU | N | 0.000058
 37   | HC 91408  | EROS GRAU | N | 0.000053
 38   | HC 94691  | EROS GRAU | N | 0.000053
 39   | HC 90370  | EROS GRAU | N | 0.000053
 40   | MI 689    | EROS GRAU | N | 0.000053
 41   | MS 24523  | EROS GRAU | N | 0.000053
 42   | HC 85200  | EROS GRAU | N | 0.000053
 43   | ADI 820   | EROS GRAU | N | 0.000053
 44   | ADI 2349  | EROS GRAU | N | 0.000053
 45   | ADI 1916  | EROS GRAU | N | 0.000053
 46   | HC 94916  | EROS GRAU | N | 0.000053
 47   | HC 89594  | EROS GRAU | N | 0.000053
 48   | MS 25090  | EROS GRAU | N | 0.000051
 49   | HC 90315  | EROS GRAU | N | 0.000044
 50   | MI 712    | EROS GRAU | N | 0.000044
 51   | HC 95402  | EROS GRAU | N | 0.000044
 52   | ADI 3332  | EROS GRAU | N | 0.000044
 53   | HC 90146  | EROS GRAU | N | 0.000044
 54   | MS 25015  | EROS GRAU | S | 0.000042
 55   | HC 95009  | EROS GRAU | N | 0.000041
 56   | MS 24488  | EROS GRAU | N | 0.000041
 57   | HC 88662  | EROS GRAU | N | 0.000041
 58   | RHC 89550 | EROS GRAU | N | 0.000040
 59   | HC 86374  | EROS GRAU | N | 0.000040
 60   | ADI 1920  | EROS GRAU | N | 0.000036
 61   | RHC 86072 | EROS GRAU | N | 0.000036
 62   | HC 85108  | EROS GRAU | N | 0.000036
 63   | HC 95539  | EROS GRAU | N | 0.000036
