Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 110926  | DIAS TOFFOLI | N | 0.117935
 2    | HC 111123  | DIAS TOFFOLI | N | 0.117892
 3    | HC 110850  | DIAS TOFFOLI | N | 0.117890
 4    | HC 111727  | DIAS TOFFOLI | N | 0.110525
 5    | HC 112319  | DIAS TOFFOLI | N | 0.088425
 6    | ADI 668    | DIAS TOFFOLI | N | 0.063777
 7    | ADI 290    | DIAS TOFFOLI | N | 0.063777
 8    | ADI 2225   | DIAS TOFFOLI | N | 0.063777
 9    | ADI 1949   | DIAS TOFFOLI | N | 0.063777
 10   | HC 101605  | DIAS TOFFOLI | N | 0.001365
 11   | HC 111171  | DIAS TOFFOLI | N | 0.000663
 12   | HC 107904  | DIAS TOFFOLI | N | 0.000658
 13   | HC 111840  | DIAS TOFFOLI | N | 0.000647
 14   | HC 113172  | DIAS TOFFOLI | N | 0.000492
 15   | EXT 1178   | DIAS TOFFOLI | N | 0.000445
 16   | EXT 1216   | DIAS TOFFOLI | N | 0.000383
 17   | RHC 102963 | DIAS TOFFOLI | N | 0.000359
 18   | HC 101407  | DIAS TOFFOLI | N | 0.000321
 19   | HC 102043  | DIAS TOFFOLI | N | 0.000303
 20   | HC 102601  | DIAS TOFFOLI | N | 0.000286
 21   | HC 108381  | DIAS TOFFOLI | N | 0.000247
 22   | HC 106523  | DIAS TOFFOLI | N | 0.000245
 23   | HC 105352  | DIAS TOFFOLI | N | 0.000240
 24   | HC 107371  | DIAS TOFFOLI | N | 0.000239
 25   | RE 594296  | DIAS TOFFOLI | N | 0.000231
 26   | RHC 105150 | DIAS TOFFOLI | N | 0.000216
 27   | HC 110199  | DIAS TOFFOLI | N | 0.000205
 28   | RCL 4803   | DIAS TOFFOLI | N | 0.000196
 29   | HC 101517  | DIAS TOFFOLI | N | 0.000196
 30   | RHC 109847 | DIAS TOFFOLI | N | 0.000193
 31   | RHC 114742 | DIAS TOFFOLI | N | 0.000188
 32   | RHC 118055 | DIAS TOFFOLI | N | 0.000182
 33   | RE 385091  | DIAS TOFFOLI | N | 0.000178
 34   | RHC 112705 | DIAS TOFFOLI | N | 0.000175
 35   | HC 101970  | DIAS TOFFOLI | N | 0.000164
 36   | RHC 114890 | DIAS TOFFOLI | N | 0.000158
 37   | HC 101891  | DIAS TOFFOLI | N | 0.000152
 38   | HC 112540  | DIAS TOFFOLI | N | 0.000142
 39   | HC 98679   | DIAS TOFFOLI | N | 0.000142
 40   | HC 113198  | DIAS TOFFOLI | N | 0.000139
 41   | HC 98366   | DIAS TOFFOLI | N | 0.000135
 42   | HC 109966  | DIAS TOFFOLI | N | 0.000134
