Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 101307  | GILMAR MENDES | S | 0.332216
 2    | ADI 1571   | GILMAR MENDES | N | 0.242931
 3    | ADI 3322   | GILMAR MENDES | N | 0.076019
 4    | ADI 3847   | GILMAR MENDES | N | 0.050637
 5    | ADI 2724   | GILMAR MENDES | N | 0.027647
 6    | ADI 3846   | GILMAR MENDES | N | 0.025308
 7    | MS 24138   | GILMAR MENDES | N | 0.018435
 8    | ADI 1882   | GILMAR MENDES | N | 0.013829
 9    | ADI 2690   | GILMAR MENDES | N | 0.010639
 10   | RE 416827  | GILMAR MENDES | S | 0.005402
 11   | RE 415454  | GILMAR MENDES | N | 0.005235
 12   | HC 85335   | GILMAR MENDES | N | 0.000855
 13   | HC 90387   | GILMAR MENDES | N | 0.000700
 14   | RE 377457  | GILMAR MENDES | N | 0.000678
 15   | HC 88537   | GILMAR MENDES | N | 0.000584
 16   | AI 556099  | GILMAR MENDES | N | 0.000501
 17   | HC 88448   | GILMAR MENDES | N | 0.000463
 18   | RE 298616  | GILMAR MENDES | N | 0.000416
 19   | HC 89965   | GILMAR MENDES | N | 0.000385
 20   | ADI 1957   | GILMAR MENDES | N | 0.000342
 21   | HC 82949   | GILMAR MENDES | N | 0.000321
 22   | HC 91386   | GILMAR MENDES | N | 0.000315
 23   | ADI 3715   | GILMAR MENDES | N | 0.000306
 24   | HC 83856   | GILMAR MENDES | N | 0.000300
 25   | HC 83555   | GILMAR MENDES | N | 0.000300
 26   | RE 381964  | GILMAR MENDES | S | 0.000287
 27   | MI 708     | GILMAR MENDES | N | 0.000264
 28   | HC 84434   | GILMAR MENDES | N | 0.000258
 29   | RE 433233  | GILMAR MENDES | S | 0.000257
 30   | HC 122894  | GILMAR MENDES | N | 0.000214
 31   | HC 89525   | GILMAR MENDES | N | 0.000200
 32   | HC 89090   | GILMAR MENDES | N | 0.000186
 33   | HC 100185  | GILMAR MENDES | N | 0.000172
 34   | RE 453740  | GILMAR MENDES | N | 0.000171
 35   | RE 598099  | GILMAR MENDES | N | 0.000171
 36   | ADI 2208   | GILMAR MENDES | N | 0.000171
 37   | RHC 85605  | GILMAR MENDES | N | 0.000159
 38   | HC 90617   | GILMAR MENDES | N | 0.000159
 39   | HC 87164   | GILMAR MENDES | N | 0.000158
 40   | HC 98172   | GILMAR MENDES | N | 0.000117
 41   | HC 104423  | GILMAR MENDES | N | 0.000117
 42   | HC 83886   | GILMAR MENDES | N | 0.000115
 43   | HC 119287  | GILMAR MENDES | N | 0.000109
 44   | HC 87353   | GILMAR MENDES | N | 0.000107
 45   | HC 82740   | GILMAR MENDES | N | 0.000104
 46   | HC 86789   | GILMAR MENDES | N | 0.000103
 47   | HC 86395   | GILMAR MENDES | N | 0.000102
 48   | HC 82662   | GILMAR MENDES | N | 0.000101
 49   | HC 94114   | GILMAR MENDES | N | 0.000095
 50   | HC 112400  | GILMAR MENDES | N | 0.000094
 51   | HC 116218  | GILMAR MENDES | N | 0.000094
 52   | HC 85428   | GILMAR MENDES | N | 0.000089
 53   | HC 85706   | GILMAR MENDES | N | 0.000089
 54   | HC 86321   | GILMAR MENDES | S | 0.000089
 55   | HC 92842   | GILMAR MENDES | N | 0.000086
 56   | HC 119064  | GILMAR MENDES | N | 0.000086
 57   | ADI 2302   | GILMAR MENDES | N | 0.000086
 58   | RHC 115989 | GILMAR MENDES | N | 0.000079
 59   | HC 88905   | GILMAR MENDES | N | 0.000079
 60   | RHC 124486 | GILMAR MENDES | N | 0.000078
 61   | HC 104339  | GILMAR MENDES | N | 0.000076
 62   | HC 82832   | GILMAR MENDES | N | 0.000075
 63   | RE 571572  | GILMAR MENDES | N | 0.000073
 64   | HC 112207  | GILMAR MENDES | N | 0.000073
 65   | RE 372503  | GILMAR MENDES | N | 0.000073
 66   | ADI 2791   | GILMAR MENDES | N | 0.000073
 67   | ADPF 33    | GILMAR MENDES | N | 0.000067
 68   | HC 85894   | GILMAR MENDES | N | 0.000067
 69   | RHC 113544 | GILMAR MENDES | N | 0.000067
 70   | RHC 116080 | GILMAR MENDES | N | 0.000067
 71   | ADI 3682   | GILMAR MENDES | N | 0.000066
 72   | HC 127488  | GILMAR MENDES | N | 0.000064
 73   | HC 85615   | GILMAR MENDES | N | 0.000063
 74   | AC 1550    | GILMAR MENDES | N | 0.000061
 75   | MS 22357   | GILMAR MENDES | N | 0.000061
 76   | MI 725     | GILMAR MENDES | N | 0.000061
 77   | RMS 24536  | GILMAR MENDES | N | 0.000061
 78   | MS 24381   | GILMAR MENDES | N | 0.000061
 79   | RHC 114434 | GILMAR MENDES | N | 0.000061
 80   | RE 356711  | GILMAR MENDES | N | 0.000061
 81   | HC 97541   | GILMAR MENDES | N | 0.000061
 82   | HC 105175  | GILMAR MENDES | N | 0.000056
 83   | HC 114817  | GILMAR MENDES | N | 0.000055
 84   | HC 114498  | GILMAR MENDES | N | 0.000055
 85   | HC 115153  | GILMAR MENDES | N | 0.000053
 86   | ADI 2808   | GILMAR MENDES | N | 0.000052
 87   | HC 127043  | GILMAR MENDES | N | 0.000052
 88   | HC 86522   | GILMAR MENDES | N | 0.000050
 89   | HC 85089   | GILMAR MENDES | N | 0.000050
 90   | HC 105743  | GILMAR MENDES | N | 0.000049
 91   | RCL 1459   | GILMAR MENDES | N | 0.000049
 92   | HC 109390  | GILMAR MENDES | N | 0.000049
 93   | RE 410778  | GILMAR MENDES | N | 0.000049
 94   | HC 84793   | GILMAR MENDES | N | 0.000049
 95   | HC 83675   | GILMAR MENDES | N | 0.000049
 96   | MS 29947   | GILMAR MENDES | N | 0.000049
 97   | HC 86128   | GILMAR MENDES | N | 0.000049
 98   | ADI 3897   | GILMAR MENDES | N | 0.000049
 99   | HC 130152  | GILMAR MENDES | N | 0.000048
 100  | HC 85579   | GILMAR MENDES | N | 0.000047


Iteração 2
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 RE 377457 | GILMAR MENDES | N
 ADI 3715  | GILMAR MENDES | N
 HC 87164  | GILMAR MENDES | N
 HC 83886  | GILMAR MENDES | N
 HC 87353  | GILMAR MENDES | N
 HC 116218 | GILMAR MENDES | N
 HC 104339 | GILMAR MENDES | N
 HC 97541  | GILMAR MENDES | N
 HC 114817 | GILMAR MENDES | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 101307  | GILMAR MENDES | S | 0.357737
 2    | ADI 1571   | GILMAR MENDES | N | 0.165052
 3    | ADI 3322   | GILMAR MENDES | N | 0.096046
 4    | ADI 3847   | GILMAR MENDES | N | 0.063984
 5    | ADI 2724   | GILMAR MENDES | N | 0.034930
 6    | ADI 3846   | GILMAR MENDES | N | 0.031980
