Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | HC 83508             | JOAQUIM BARBOSA | N | 0.411750
 2    | HC 83520             | JOAQUIM BARBOSA | N | 0.411750
 3    | HC 83592             | JOAQUIM BARBOSA | N | 0.000149
 4    | HC 83458             | JOAQUIM BARBOSA | N | 0.000100
 5    | HC 83451             | JOAQUIM BARBOSA | N | 0.000050
 6    | RHC 87695            | JOAQUIM BARBOSA | N | 0.000050
 7    | DÉCIMOS EDJ AP 470   | JOAQUIM BARBOSA | N | 0.000050
 8    | AGR RE 412368        | JOAQUIM BARBOSA | N | 0.000050
 9    | AGR AI 728023        | JOAQUIM BARBOSA | N | 0.000050
 10   | ED AI 855640         | JOAQUIM BARBOSA | N | 0.000050
 11   | HC 88261             | JOAQUIM BARBOSA | N | 0.000050
 12   | ED ARE 687787        | JOAQUIM BARBOSA | N | 0.000050
 13   | ED AI 529511         | JOAQUIM BARBOSA | N | 0.000050
 14   | SEGUNDOS ED AP 470   | JOAQUIM BARBOSA | N | 0.000050
 15   | AGR HC 92797         | JOAQUIM BARBOSA | N | 0.000050
 16   | ED AGR AI 612398     | JOAQUIM BARBOSA | N | 0.000050
 17   | AGR AI 362748        | JOAQUIM BARBOSA | N | 0.000050
 18   | QO AC 1175           | JOAQUIM BARBOSA | N | 0.000050
 19   | AGR AI 389840        | JOAQUIM BARBOSA | N | 0.000050
 20   | HC 84095             | JOAQUIM BARBOSA | N | 0.000050
 21   | AGR RMS 30580        | JOAQUIM BARBOSA | N | 0.000050
 22   | AGR AI 542906        | JOAQUIM BARBOSA | N | 0.000050
 23   | HC 86575             | JOAQUIM BARBOSA | N | 0.000050
 24   | AGR RE 459674        | JOAQUIM BARBOSA | N | 0.000050
 25   | QO MC AC 1592        | JOAQUIM BARBOSA | N | 0.000050
 26   | AGR INQ 2245         | JOAQUIM BARBOSA | N | 0.000050
 27   | QO HC 82953          | JOAQUIM BARBOSA | N | 0.000050
 28   | ED HC 96730          | JOAQUIM BARBOSA | N | 0.000050
 29   | AGR RE 475393        | JOAQUIM BARBOSA | N | 0.000050
 30   | ED RE 437008         | JOAQUIM BARBOSA | N | 0.000050
 31   | AGR AI 581630        | JOAQUIM BARBOSA | N | 0.000050
