Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 385091                 | DIAS TOFFOLI | N | 0.001218
 2    | AGR RE 413815             | DIAS TOFFOLI | N | 0.000183
 3    | AGR EDV ED AGR ARE 665088 | DIAS TOFFOLI | N | 0.000183
 4    | AGR HC 129035             | DIAS TOFFOLI | N | 0.000183
 5    | ED INQ 4014               | DIAS TOFFOLI | N | 0.000183
 6    | AGR RE 965701             | DIAS TOFFOLI | N | 0.000183
 7    | AGR RE 539832             | DIAS TOFFOLI | N | 0.000183
 8    | ED INQ 4019               | DIAS TOFFOLI | N | 0.000183
 9    | AGR ARE 818022            | DIAS TOFFOLI | N | 0.000183
 10   | AGR AI 750754             | DIAS TOFFOLI | N | 0.000183
 11   | RHC 117696                | DIAS TOFFOLI | N | 0.000183
 12   | AGR AI 655222             | DIAS TOFFOLI | N | 0.000183
 13   | AGR AI 683370             | DIAS TOFFOLI | N | 0.000183
 14   | AGR ARE 936925            | DIAS TOFFOLI | N | 0.000183
 15   | AGR AI 791703             | DIAS TOFFOLI | N | 0.000183
 16   | HC 120139                 | DIAS TOFFOLI | N | 0.000183
 17   | AGR RCL 11246             | DIAS TOFFOLI | N | 0.000183
 18   | HC 134193                 | DIAS TOFFOLI | N | 0.000183
 19   | AGR AI 856947             | DIAS TOFFOLI | N | 0.000183
 20   | HC 109079                 | DIAS TOFFOLI | N | 0.000183
 21   | AGR ARE 763871            | DIAS TOFFOLI | N | 0.000183
 22   | AGR ARE 751081            | DIAS TOFFOLI | N | 0.000183
 23   | SEGUNDO AGR RE 505508     | DIAS TOFFOLI | N | 0.000183
 24   | AGR AI 709448             | DIAS TOFFOLI | N | 0.000183
 25   | AGR ARE 724396            | DIAS TOFFOLI | N | 0.000183
 26   | AGR RCL 6092              | DIAS TOFFOLI | N | 0.000183
 27   | ED ED AGR AI 817100       | DIAS TOFFOLI | N | 0.000183
 28   | AGR RE 417045             | DIAS TOFFOLI | N | 0.000183
 29   | AGR RE 417040             | DIAS TOFFOLI | N | 0.000183
 30   | AGR RE 596813             | DIAS TOFFOLI | N | 0.000183
 31   | HC 108671                 | DIAS TOFFOLI | N | 0.000183
 32   | AGR AI 305139             | DIAS TOFFOLI | N | 0.000183
 33   | HC 104167                 | DIAS TOFFOLI | N | 0.000183
 34   | AGR ARE 750132            | DIAS TOFFOLI | N | 0.000183
 35   | AGR ARE 872521            | DIAS TOFFOLI | N | 0.000183
 36   | AGR ARE 812653            | DIAS TOFFOLI | N | 0.000183
 37   | RHC 115758                | DIAS TOFFOLI | N | 0.000183
 38   | AGR RE 540578             | DIAS TOFFOLI | N | 0.000183
 39   | AGR AI 471564             | DIAS TOFFOLI | N | 0.000183
 40   | HC 127483                 | DIAS TOFFOLI | N | 0.000183
 41   | AGR RE 583201             | DIAS TOFFOLI | N | 0.000183
 42   | AGR AI 751904             | DIAS TOFFOLI | N | 0.000183
 43   | AGR AI 508028             | DIAS TOFFOLI | N | 0.000183
 44   | AGR AI 716406             | DIAS TOFFOLI | N | 0.000183
 45   | ED RE 590655              | DIAS TOFFOLI | N | 0.000183
 46   | AGR RE 655949             | DIAS TOFFOLI | N | 0.000183
 47   | HC 113857                 | DIAS TOFFOLI | N | 0.000183
 48   | HC 95570                  | DIAS TOFFOLI | N | 0.000183
 49   | HC 110584                 | DIAS TOFFOLI | N | 0.000183
 50   | AGR AI 763240             | DIAS TOFFOLI | N | 0.000183
 51   | AGR ARE 710199            | DIAS TOFFOLI | N | 0.000183
 52   | AGR AI 764566             | DIAS TOFFOLI | N | 0.000183
 53   | AGR AI 810740             | DIAS TOFFOLI | N | 0.000183
 54   | AGR AI 738843             | DIAS TOFFOLI | N | 0.000183
 55   | AGR RCL 7054              | DIAS TOFFOLI | N | 0.000183
 56   | AGR RE 447421             | DIAS TOFFOLI | N | 0.000183
 57   | AGR ARE 837979            | DIAS TOFFOLI | N | 0.000183
 58   | AGR ARE 897890            | DIAS TOFFOLI | N | 0.000183
 59   | RHC 117108                | DIAS TOFFOLI | N | 0.000183
 60   | HC 132342                 | DIAS TOFFOLI | N | 0.000183
 61   | AP 441                    | DIAS TOFFOLI | N | 0.000183
 62   | AGR RE 419918             | DIAS TOFFOLI | N | 0.000183
 63   | SEGUNDO AGR AR 1958       | DIAS TOFFOLI | N | 0.000183
