Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 658570         | MARCO AURÉLIO | N | 0.822391
 2    | RE 206048         | MARCO AURÉLIO | N | 0.000762
 3    | RE 453000         | MARCO AURÉLIO | N | 0.000083
 4    | RE 413782         | MARCO AURÉLIO | N | 0.000048
 5    | RE 199293         | MARCO AURÉLIO | N | 0.000048
 6    | HC 83128          | MARCO AURÉLIO | N | 0.000048
 7    | HC 84073          | MARCO AURÉLIO | N | 0.000048
 8    | RE 428991         | MARCO AURÉLIO | N | 0.000048
 9    | HC 83255          | MARCO AURÉLIO | N | 0.000048
 10   | RE 189170         | MARCO AURÉLIO | N | 0.000048
 11   | HC 83157          | MARCO AURÉLIO | N | 0.000048
 12   | ADI 2950          | MARCO AURÉLIO | N | 0.000048
 13   | RE 134509         | MARCO AURÉLIO | N | 0.000048
 14   | HC 84219          | MARCO AURÉLIO | N | 0.000048
 15   | RE 566819         | MARCO AURÉLIO | N | 0.000038
 16   | RE 353657         | MARCO AURÉLIO | N | 0.000038
 17   | RHC 80071         | MARCO AURÉLIO | N | 0.000036
 18   | HC 82959          | MARCO AURÉLIO | N | 0.000035
 19   | HC 84738          | MARCO AURÉLIO | N | 0.000030
 20   | HC 91518          | MARCO AURÉLIO | N | 0.000030
 21   | HC 89585          | MARCO AURÉLIO | N | 0.000030
 22   | RE 444816         | MARCO AURÉLIO | N | 0.000030
 23   | HC 92089          | MARCO AURÉLIO | N | 0.000030
 24   | AR 1472           | MARCO AURÉLIO | N | 0.000030
 25   | HC 88159          | MARCO AURÉLIO | N | 0.000027
 26   | HC 91618          | MARCO AURÉLIO | N | 0.000027
 27   | HC 88843          | MARCO AURÉLIO | N | 0.000027
 28   | RHC 84036         | MARCO AURÉLIO | N | 0.000027
