Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | PET 3943         | CEZAR PELUSO | N | 0.001645
 2    | PET 3297         | CEZAR PELUSO | N | 0.001645
 3    | HC 88190         | CEZAR PELUSO | N | 0.001645
 4    | HC 83894         | CEZAR PELUSO | N | 0.001645
 5    | AGR AI 420114    | CEZAR PELUSO | N | 0.000248
 6    | AGR RE 426039    | CEZAR PELUSO | N | 0.000248
 7    | AGR RE 445273    | CEZAR PELUSO | N | 0.000248
 8    | AGR AI 492792    | CEZAR PELUSO | S | 0.000248
 9    | AGR AI 417691    | CEZAR PELUSO | N | 0.000248
 10   | AGR RE 413810    | CEZAR PELUSO | N | 0.000248
 11   | AGR AI 443195    | CEZAR PELUSO | N | 0.000248
 12   | AGR AI 548327    | CEZAR PELUSO | N | 0.000248
 13   | AGR RE 353101    | CEZAR PELUSO | S | 0.000248
 14   | AGR AI 499450    | CEZAR PELUSO | S | 0.000248
 15   | AGR RE 283831    | CEZAR PELUSO | S | 0.000248
 16   | AGR RE 535675    | CEZAR PELUSO | N | 0.000248
 17   | AGR RE 421867    | CEZAR PELUSO | S | 0.000248
 18   | AGR AI 406075    | CEZAR PELUSO | N | 0.000248
 19   | AGR AI 316234    | CEZAR PELUSO | N | 0.000248
 20   | ED RE 370411     | CEZAR PELUSO | N | 0.000248
 21   | AGR AI 461287    | CEZAR PELUSO | S | 0.000248
 22   | HC 84097         | CEZAR PELUSO | N | 0.000248
 23   | ED AGR AI 289327 | CEZAR PELUSO | N | 0.000248
 24   | AGR AI 501039    | CEZAR PELUSO | S | 0.000248
 25   | AGR RE 310149    | CEZAR PELUSO | S | 0.000248
 26   | RE 212596        | CEZAR PELUSO | N | 0.000248
 27   | HC 90298         | CEZAR PELUSO | N | 0.000248
 28   | HC 87711         | CEZAR PELUSO | N | 0.000248
 29   | HC 93105         | CEZAR PELUSO | N | 0.000248
 30   | AGR AI 559174    | CEZAR PELUSO | N | 0.000248
 31   | AGR RE 491723    | CEZAR PELUSO | N | 0.000248
 32   | AGR RE 347107    | CEZAR PELUSO | N | 0.000248
 33   | AGR AI 504001    | CEZAR PELUSO | S | 0.000248
 34   | AGR AI 179215    | CEZAR PELUSO | N | 0.000248
 35   | ED AGR RE 426058 | CEZAR PELUSO | N | 0.000248
 36   | AGR RE 319434    | CEZAR PELUSO | S | 0.000248
 37   | RHC 95768        | CEZAR PELUSO | N | 0.000248
 38   | AGR RE 263534    | CEZAR PELUSO | N | 0.000248
 39   | AGR RCL 3626     | CEZAR PELUSO | N | 0.000248
 40   | AGR RE 361736    | CEZAR PELUSO | N | 0.000248
 41   | ED RE 411160     | CEZAR PELUSO | N | 0.000248
 42   | AGR AI 465721    | CEZAR PELUSO | S | 0.000248
 43   | AGR RCL 2408     | CEZAR PELUSO | N | 0.000248
 44   | AGR AI 465722    | CEZAR PELUSO | N | 0.000248
 45   | AGR RE 557695    | CEZAR PELUSO | N | 0.000248
 46   | AGR AI 487723    | CEZAR PELUSO | N | 0.000248
 47   | AGR RE 330320    | CEZAR PELUSO | S | 0.000248
 48   | AGR AI 590009    | CEZAR PELUSO | N | 0.000248
 49   | RHC 87699        | CEZAR PELUSO | N | 0.000248
 50   | RE 550869        | CEZAR PELUSO | N | 0.000248
 51   | AGR RE 312320    | CEZAR PELUSO | S | 0.000248
 52   | AGR AI 713637    | CEZAR PELUSO | N | 0.000248
 53   | AGR HC 92664     | CEZAR PELUSO | N | 0.000248
 54   | AGR RE 338666    | CEZAR PELUSO | N | 0.000248
 55   | AGR AI 237109    | CEZAR PELUSO | S | 0.000248
 56   | AGR RE 467854    | CEZAR PELUSO | N | 0.000248
 57   | AGR AI 395508    | CEZAR PELUSO | N | 0.000248
 58   | AGR RE 542537    | CEZAR PELUSO | N | 0.000248
 59   | AGR AI 439031    | CEZAR PELUSO | N | 0.000248
 60   | AGR RE 485188    | CEZAR PELUSO | N | 0.000248
 61   | AGR RE 423824    | CEZAR PELUSO | S | 0.000248
 62   | AGR RCL 8454     | CEZAR PELUSO | N | 0.000248
 63   | AGR RE 423821    | CEZAR PELUSO | S | 0.000248
 64   | AGR AI 455711    | CEZAR PELUSO | S | 0.000248
 65   | AGR AI 460888    | CEZAR PELUSO | S | 0.000248
 66   | RHC 91552        | CEZAR PELUSO | N | 0.000248
 67   | HC 97128         | CEZAR PELUSO | N | 0.000248
 68   | AGR AI 504135    | CEZAR PELUSO | S | 0.000248
 69   | AGR AI 552534    | CEZAR PELUSO | N | 0.000248
 70   | AGR RE 455832    | CEZAR PELUSO | N | 0.000248
 71   | AGR RE 571350    | CEZAR PELUSO | N | 0.000248
 72   | AGR AI 274958    | CEZAR PELUSO | N | 0.000248
 73   | AGR RE 351295    | CEZAR PELUSO | S | 0.000248
 74   | AGR RE 549189    | CEZAR PELUSO | N | 0.000248
 75   | AGR RE 442725    | CEZAR PELUSO | N | 0.000248
 76   | ED AI 529615     | CEZAR PELUSO | N | 0.000248
 77   | AGR PET 3090     | CEZAR PELUSO | N | 0.000248
 78   | AGR RE 558990    | CEZAR PELUSO | N | 0.000248
 79   | RE 470244        | CEZAR PELUSO | N | 0.000248
 80   | ED AGR AI 691424 | CEZAR PELUSO | N | 0.000248
 81   | AGR AI 461932    | CEZAR PELUSO | N | 0.000248
 82   | AGR MC RCL 4414  | CEZAR PELUSO | N | 0.000248
 83   | AGR RE 422716    | CEZAR PELUSO | S | 0.000248
 84   | HC 95740         | CEZAR PELUSO | N | 0.000248
 85   | AGR RE 386816    | CEZAR PELUSO | N | 0.000248
 86   | AGR RE 362827    | CEZAR PELUSO | N | 0.000248
 87   | AGR AI 572364    | CEZAR PELUSO | N | 0.000248
 88   | AGR AI 524421    | CEZAR PELUSO | N | 0.000248
 89   | AGR AI 538066    | CEZAR PELUSO | N | 0.000248
 90   | ED RE 282726     | CEZAR PELUSO | N | 0.000248
 91   | AGR AI 506392    | CEZAR PELUSO | S | 0.000248
 92   | AGR RE 564293    | CEZAR PELUSO | N | 0.000248
 93   | ED AGR AI 523308 | CEZAR PELUSO | N | 0.000248
 94   | ED AGR AI 490785 | CEZAR PELUSO | N | 0.000248
 95   | AGR RE 424937    | CEZAR PELUSO | S | 0.000248
 96   | AGR AI 427647    | CEZAR PELUSO | N | 0.000248
 97   | RE 521017        | CEZAR PELUSO | N | 0.000248
 98   | AGR RE 436308    | CEZAR PELUSO | N | 0.000248
 99   | HC 94839         | CEZAR PELUSO | N | 0.000248
 100  | AGR AI 484636    | CEZAR PELUSO | S | 0.000248


Iteração 2
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 AGR RE 535675 | CEZAR PELUSO | N
 RE 550869     | CEZAR PELUSO | N
 AGR RE 467854 | CEZAR PELUSO | N
 AGR RCL 8454  | CEZAR PELUSO | N
 RHC 91552     | CEZAR PELUSO | N
 AGR RE 571350 | CEZAR PELUSO | N
 AGR RE 386816 | CEZAR PELUSO | N
 AGR RE 564293 | CEZAR PELUSO | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | PET 3943         | CEZAR PELUSO | N | 0.001847
 2    | PET 3297         | CEZAR PELUSO | N | 0.001847
 3    | HC 88190         | CEZAR PELUSO | N | 0.001847
 4    | AGR AI 420114    | CEZAR PELUSO | N | 0.000278
 5    | AGR RE 426039    | CEZAR PELUSO | N | 0.000278
 6    | AGR RE 445273    | CEZAR PELUSO | N | 0.000278
 7    | AGR AI 492792    | CEZAR PELUSO | S | 0.000278
 8    | AGR AI 417691    | CEZAR PELUSO | N | 0.000278
 9    | AGR RE 413810    | CEZAR PELUSO | N | 0.000278
 10   | AGR AI 443195    | CEZAR PELUSO | N | 0.000278
 11   | AGR AI 548327    | CEZAR PELUSO | N | 0.000278
 12   | AGR RE 353101    | CEZAR PELUSO | S | 0.000278
 13   | AGR AI 499450    | CEZAR PELUSO | S | 0.000278
 14   | AGR RE 283831    | CEZAR PELUSO | S | 0.000278
 15   | AGR RE 421867    | CEZAR PELUSO | S | 0.000278
 16   | AGR AI 406075    | CEZAR PELUSO | N | 0.000278
 17   | AGR AI 316234    | CEZAR PELUSO | N | 0.000278
 18   | ED RE 370411     | CEZAR PELUSO | N | 0.000278
 19   | AGR AI 461287    | CEZAR PELUSO | S | 0.000278
 20   | HC 84097         | CEZAR PELUSO | N | 0.000278
 21   | AGR AI 684418    | CEZAR PELUSO | N | 0.000278
 22   | AGR AI 501039    | CEZAR PELUSO | S | 0.000278
 23   | AGR RE 310149    | CEZAR PELUSO | S | 0.000278
 24   | RE 212596        | CEZAR PELUSO | N | 0.000278
 25   | HC 90298         | CEZAR PELUSO | N | 0.000278
 26   | HC 87711         | CEZAR PELUSO | N | 0.000278
 27   | HC 93105         | CEZAR PELUSO | N | 0.000278
 28   | AGR AI 559174    | CEZAR PELUSO | N | 0.000278
 29   | AGR RE 491723    | CEZAR PELUSO | N | 0.000278
 30   | AGR RE 347107    | CEZAR PELUSO | N | 0.000278
 31   | AGR AI 504001    | CEZAR PELUSO | S | 0.000278
 32   | AGR AI 179215    | CEZAR PELUSO | N | 0.000278
 33   | ED AGR RE 426058 | CEZAR PELUSO | N | 0.000278
 34   | AGR RE 319434    | CEZAR PELUSO | S | 0.000278
 35   | AGR RE 263534    | CEZAR PELUSO | N | 0.000278
 36   | AGR RCL 3626     | CEZAR PELUSO | N | 0.000278
 37   | AGR RE 361736    | CEZAR PELUSO | N | 0.000278
 38   | ED RE 411160     | CEZAR PELUSO | N | 0.000278
 39   | AGR AI 465721    | CEZAR PELUSO | S | 0.000278
 40   | AGR RCL 2408     | CEZAR PELUSO | N | 0.000278
 41   | AGR AI 465722    | CEZAR PELUSO | N | 0.000278
 42   | AGR RE 557695    | CEZAR PELUSO | N | 0.000278
 43   | AGR AI 487723    | CEZAR PELUSO | N | 0.000278
 44   | AGR RE 330320    | CEZAR PELUSO | S | 0.000278
 45   | AGR AI 590009    | CEZAR PELUSO | N | 0.000278
 46   | RHC 87699        | CEZAR PELUSO | N | 0.000278
 47   | AGR RE 312320    | CEZAR PELUSO | S | 0.000278
 48   | AGR AI 713637    | CEZAR PELUSO | N | 0.000278
 49   | AGR HC 92664     | CEZAR PELUSO | N | 0.000278
 50   | AGR RE 338666    | CEZAR PELUSO | N | 0.000278
 51   | AGR AI 237109    | CEZAR PELUSO | S | 0.000278
 52   | AGR AI 395508    | CEZAR PELUSO | N | 0.000278
 53   | AGR RE 542537    | CEZAR PELUSO | N | 0.000278
 54   | AGR AI 439031    | CEZAR PELUSO | N | 0.000278
 55   | AGR RE 485188    | CEZAR PELUSO | N | 0.000278
 56   | AGR RE 423824    | CEZAR PELUSO | S | 0.000278
 57   | AGR AI 573819    | CEZAR PELUSO | N | 0.000278
 58   | AGR AI 460888    | CEZAR PELUSO | S | 0.000278
 59   | HC 97128         | CEZAR PELUSO | N | 0.000278
 60   | AGR AI 504135    | CEZAR PELUSO | S | 0.000278
 61   | AGR AI 552534    | CEZAR PELUSO | N | 0.000278
 62   | AGR RE 455832    | CEZAR PELUSO | N | 0.000278
 63   | AGR AI 274958    | CEZAR PELUSO | N | 0.000278
 64   | AGR RE 351295    | CEZAR PELUSO | S | 0.000278
 65   | AGR RE 549189    | CEZAR PELUSO | N | 0.000278
 66   | AGR RE 442725    | CEZAR PELUSO | N | 0.000278
 67   | ED AGR RE 467829 | CEZAR PELUSO | N | 0.000278
 68   | AGR PET 3090     | CEZAR PELUSO | N | 0.000278
 69   | AGR RE 558990    | CEZAR PELUSO | N | 0.000278
 70   | ED AGR AI 691424 | CEZAR PELUSO | N | 0.000278
 71   | AGR AI 461932    | CEZAR PELUSO | N | 0.000278
 72   | AGR MC RCL 4414  | CEZAR PELUSO | N | 0.000278
 73   | AGR RE 422716    | CEZAR PELUSO | S | 0.000278
 74   | HC 95740         | CEZAR PELUSO | N | 0.000278
 75   | AGR RE 362827    | CEZAR PELUSO | N | 0.000278
 76   | AGR AI 572364    | CEZAR PELUSO | N | 0.000278
 77   | AGR AI 524421    | CEZAR PELUSO | N | 0.000278
 78   | AGR AI 538066    | CEZAR PELUSO | N | 0.000278
 79   | ED RE 282726     | CEZAR PELUSO | N | 0.000278
 80   | AGR AI 506392    | CEZAR PELUSO | S | 0.000278
 81   | ED AGR AI 523308 | CEZAR PELUSO | N | 0.000278
 82   | ED AGR AI 490785 | CEZAR PELUSO | N | 0.000278
 83   | AGR RE 424937    | CEZAR PELUSO | S | 0.000278
 84   | HC 95984         | CEZAR PELUSO | N | 0.000278
 85   | RE 521017        | CEZAR PELUSO | N | 0.000278
 86   | AGR RE 436308    | CEZAR PELUSO | N | 0.000278
 87   | HC 94839         | CEZAR PELUSO | N | 0.000278
 88   | AGR RE 248100    | CEZAR PELUSO | N | 0.000278
 89   | AGR AI 567408    | CEZAR PELUSO | N | 0.000278
 90   | AGR AI 505604    | CEZAR PELUSO | N | 0.000278
 91   | AGR RE 398362    | CEZAR PELUSO | N | 0.000278
 92   | AGR AI 590177    | CEZAR PELUSO | N | 0.000278
 93   | AGR AI 486701    | CEZAR PELUSO | N | 0.000278
 94   | AGR AI 497328    | CEZAR PELUSO | S | 0.000278
 95   | ED AI 528159     | CEZAR PELUSO | N | 0.000278
 96   | AGR RE 257298    | CEZAR PELUSO | N | 0.000278
 97   | AGR AI 497857    | CEZAR PELUSO | N | 0.000278
 98   | AGR RE 230435    | CEZAR PELUSO | N | 0.000278
 99   | HC 84555         | CEZAR PELUSO | N | 0.000278
 100  | ED AGR RE 435203 | CEZAR PELUSO | N | 0.000278


Iteração 3
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 PET 3943         | CEZAR PELUSO | N
 AGR RE 413810    | CEZAR PELUSO | N
 HC 93105         | CEZAR PELUSO | N
 AGR RE 361736    | CEZAR PELUSO | N
 AGR AI 487723    | CEZAR PELUSO | N
 RHC 87699        | CEZAR PELUSO | N
 AGR HC 92664     | CEZAR PELUSO | N
 AGR RE 485188    | CEZAR PELUSO | N
 ED AGR RE 467829 | CEZAR PELUSO | N
 AGR AI 572364    | CEZAR PELUSO | N
 AGR AI 538066    | CEZAR PELUSO | N
 ED AGR AI 523308 | CEZAR PELUSO | N
 ED AGR AI 490785 | CEZAR PELUSO | N
 AGR RE 257298    | CEZAR PELUSO | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | PET 3297         | CEZAR PELUSO | N | 0.001826
 2    | HC 88190         | CEZAR PELUSO | N | 0.001826
 3    | AGR AI 420114    | CEZAR PELUSO | N | 0.000275
 4    | AGR RE 426039    | CEZAR PELUSO | N | 0.000275
 5    | AGR RE 445273    | CEZAR PELUSO | N | 0.000275
 6    | AGR AI 492792    | CEZAR PELUSO | S | 0.000275
 7    | AGR AI 417691    | CEZAR PELUSO | N | 0.000275
 8    | AGR RE 479646    | CEZAR PELUSO | N | 0.000275
 9    | AGR AI 443195    | CEZAR PELUSO | N | 0.000275
 10   | AGR AI 548327    | CEZAR PELUSO | N | 0.000275
 11   | AGR RE 353101    | CEZAR PELUSO | S | 0.000275
 12   | AGR AI 499450    | CEZAR PELUSO | S | 0.000275
 13   | AGR RE 283831    | CEZAR PELUSO | S | 0.000275
 14   | AGR RE 535675    | CEZAR PELUSO | N | 0.000275
 15   | AGR RE 421867    | CEZAR PELUSO | S | 0.000275
 16   | AGR AI 406075    | CEZAR PELUSO | N | 0.000275
 17   | AGR AI 316234    | CEZAR PELUSO | N | 0.000275
 18   | ED RE 370411     | CEZAR PELUSO | N | 0.000275
 19   | AGR AI 461287    | CEZAR PELUSO | S | 0.000275
 20   | HC 84097         | CEZAR PELUSO | N | 0.000275
 21   | ED AGR AI 289327 | CEZAR PELUSO | N | 0.000275
 22   | AGR AI 501039    | CEZAR PELUSO | S | 0.000275
 23   | AGR RE 310149    | CEZAR PELUSO | S | 0.000275
 24   | RE 212596        | CEZAR PELUSO | N | 0.000275
 25   | HC 90298         | CEZAR PELUSO | N | 0.000275
 26   | HC 87711         | CEZAR PELUSO | N | 0.000275
 27   | AGR AI 559174    | CEZAR PELUSO | N | 0.000275
 28   | AGR RE 491723    | CEZAR PELUSO | N | 0.000275
 29   | AGR RE 347107    | CEZAR PELUSO | N | 0.000275
 30   | AGR AI 504001    | CEZAR PELUSO | S | 0.000275
 31   | AGR AI 179215    | CEZAR PELUSO | N | 0.000275
 32   | ED AGR RE 426058 | CEZAR PELUSO | N | 0.000275
 33   | AGR RE 319434    | CEZAR PELUSO | S | 0.000275
 34   | RHC 95768        | CEZAR PELUSO | N | 0.000275
 35   | AGR RE 263534    | CEZAR PELUSO | N | 0.000275
 36   | AGR RCL 3626     | CEZAR PELUSO | N | 0.000275
 37   | ED RE 411160     | CEZAR PELUSO | N | 0.000275
 38   | AGR AI 465721    | CEZAR PELUSO | S | 0.000275
 39   | AGR RCL 2408     | CEZAR PELUSO | N | 0.000275
 40   | AGR AI 465722    | CEZAR PELUSO | N | 0.000275
 41   | AGR RE 557695    | CEZAR PELUSO | N | 0.000275
 42   | AGR RE 330320    | CEZAR PELUSO | S | 0.000275
 43   | AGR AI 590009    | CEZAR PELUSO | N | 0.000275
 44   | RE 550869        | CEZAR PELUSO | N | 0.000275
 45   | AGR RE 312320    | CEZAR PELUSO | S | 0.000275
 46   | AGR AI 713637    | CEZAR PELUSO | N | 0.000275
 47   | AGR RE 338666    | CEZAR PELUSO | N | 0.000275
 48   | AGR AI 237109    | CEZAR PELUSO | S | 0.000275
 49   | AGR RE 467854    | CEZAR PELUSO | N | 0.000275
 50   | AGR AI 395508    | CEZAR PELUSO | N | 0.000275
 51   | AGR RE 542537    | CEZAR PELUSO | N | 0.000275
 52   | AGR AI 439031    | CEZAR PELUSO | N | 0.000275
 53   | AGR RE 430720    | CEZAR PELUSO | N | 0.000275
 54   | AGR RE 423824    | CEZAR PELUSO | S | 0.000275
 55   | AGR RCL 8454     | CEZAR PELUSO | N | 0.000275
 56   | AGR RE 423821    | CEZAR PELUSO | S | 0.000275
 57   | AGR AI 455711    | CEZAR PELUSO | S | 0.000275
 58   | RHC 91552        | CEZAR PELUSO | N | 0.000275
 59   | HC 97128         | CEZAR PELUSO | N | 0.000275
 60   | AGR AI 504135    | CEZAR PELUSO | S | 0.000275
 61   | AGR AI 552534    | CEZAR PELUSO | N | 0.000275
