Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | RE 658570         | MARCO AURÉLIO | N | 0.822034
 2    | RE 206048         | MARCO AURÉLIO | N | 0.000762
 3    | RE 453000         | MARCO AURÉLIO | N | 0.000095
 4    | RE 566819         | MARCO AURÉLIO | N | 0.000071
 5    | HC 82959          | MARCO AURÉLIO | N | 0.000071
 6    | RE 353657         | MARCO AURÉLIO | N | 0.000071
 7    | RE 413782         | MARCO AURÉLIO | N | 0.000048
 8    | RE 199293         | MARCO AURÉLIO | N | 0.000048
 9    | HC 88159          | MARCO AURÉLIO | N | 0.000048
 10   | HC 84738          | MARCO AURÉLIO | N | 0.000048
 11   | HC 83128          | MARCO AURÉLIO | N | 0.000048
 12   | HC 91518          | MARCO AURÉLIO | N | 0.000048
 13   | HC 84073          | MARCO AURÉLIO | N | 0.000048
 14   | RE 428991         | MARCO AURÉLIO | N | 0.000048
 15   | HC 91618          | MARCO AURÉLIO | N | 0.000048
 16   | HC 88843          | MARCO AURÉLIO | N | 0.000048
 17   | HC 83255          | MARCO AURÉLIO | N | 0.000048
 18   | RE 189170         | MARCO AURÉLIO | N | 0.000048
 19   | RHC 80071         | MARCO AURÉLIO | N | 0.000048
 20   | HC 83157          | MARCO AURÉLIO | N | 0.000048
 21   | HC 89585          | MARCO AURÉLIO | N | 0.000048
 22   | ADI 2950          | MARCO AURÉLIO | N | 0.000048
 23   | RE 134509         | MARCO AURÉLIO | N | 0.000048
 24   | RHC 84036         | MARCO AURÉLIO | N | 0.000048
 25   | RE 444816         | MARCO AURÉLIO | N | 0.000048
 26   | HC 90049          | MARCO AURÉLIO | N | 0.000048
 27   | HC 92089          | MARCO AURÉLIO | N | 0.000048
 28   | HC 86928          | MARCO AURÉLIO | N | 0.000048
 29   | AR 1472           | MARCO AURÉLIO | N | 0.000048
 30   | HC 84219          | MARCO AURÉLIO | N | 0.000048
 31   | HC 83450          | MARCO AURÉLIO | N | 0.000024
 32   | AGR AI 827589     | MARCO AURÉLIO | N | 0.000024
 33   | AGR ARE 727378    | MARCO AURÉLIO | N | 0.000024
 34   | HC 83459          | MARCO AURÉLIO | N | 0.000024
 35   | AGR RE 599233     | MARCO AURÉLIO | N | 0.000024
 36   | AGR AI 455397     | MARCO AURÉLIO | N | 0.000024
 37   | AGR RE 594948     | MARCO AURÉLIO | N | 0.000024
 38   | AGR RE 557151     | MARCO AURÉLIO | N | 0.000024
 39   | HC 106443         | MARCO AURÉLIO | N | 0.000024
 40   | AGR RE 546248     | MARCO AURÉLIO | N | 0.000024
 41   | ED MS 24042       | MARCO AURÉLIO | N | 0.000024
 42   | AGR RE 459673     | MARCO AURÉLIO | N | 0.000024
 43   | AGR ARE 720858    | MARCO AURÉLIO | N | 0.000024
 44   | AGR ARE 668473    | MARCO AURÉLIO | N | 0.000024
 45   | AGR RE 748574     | MARCO AURÉLIO | N | 0.000024
 46   | ED HC 105541      | MARCO AURÉLIO | N | 0.000024
 47   | ED EXT 975        | MARCO AURÉLIO | N | 0.000024
 48   | AGR RE 600727     | MARCO AURÉLIO | N | 0.000024
 49   | RCL 812           | MARCO AURÉLIO | N | 0.000024
 50   | AGR RE 203538     | MARCO AURÉLIO | N | 0.000024
 51   | HC 111357         | MARCO AURÉLIO | N | 0.000024
 52   | AGR RE 644717     | MARCO AURÉLIO | N | 0.000024
 53   | AGR ARE 910503    | MARCO AURÉLIO | N | 0.000024
 54   | AGR ARE 647712    | MARCO AURÉLIO | N | 0.000024
 55   | AGR RE 721134     | MARCO AURÉLIO | N | 0.000024
 56   | AGR RE 389265     | MARCO AURÉLIO | N | 0.000024
 57   | AGR RE 389911     | MARCO AURÉLIO | N | 0.000024
 58   | AGR AI 541696     | MARCO AURÉLIO | N | 0.000024
 59   | HC 117000         | MARCO AURÉLIO | N | 0.000024
 60   | MC ADI 2799       | MARCO AURÉLIO | N | 0.000024
 61   | HC 114207         | MARCO AURÉLIO | N | 0.000024
 62   | AGR AI 818291     | MARCO AURÉLIO | N | 0.000024
 63   | AGR RE 245285     | MARCO AURÉLIO | N | 0.000024
 64   | AGR RE 575093     | MARCO AURÉLIO | N | 0.000024
