Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | MI 529                | CARLOS VELLOSO  | S | 0.493407
 2    | ADI 3013              | ELLEN GRACIE    | S | 0.328948
 3    | ADI 2031              | ELLEN GRACIE    | N | 0.000312
 4    | ADI 872               | ELLEN GRACIE    | N | 0.000113
 5    | RE 275159             | ELLEN GRACIE    | N | 0.000113
 6    | RE 336680             | ELLEN GRACIE    | N | 0.000085
 7    | ADI 703               | ELLEN GRACIE    | N | 0.000085
 8    | ADI 2474              | ELLEN GRACIE    | N | 0.000057
 9    | RHC 80757             | ELLEN GRACIE    | N | 0.000057
 10   | HC 82588              | ELLEN GRACIE    | N | 0.000057
 11   | HC 81214              | ELLEN GRACIE    | N | 0.000057
 12   | ADI 1541              | ELLEN GRACIE    | N | 0.000057
 13   | AR 1713               | ELLEN GRACIE    | N | 0.000057
 14   | HC 79989              | ELLEN GRACIE    | N | 0.000057
 15   | RE 224283             | ELLEN GRACIE    | N | 0.000057
 16   | RE 226472             | ELLEN GRACIE    | N | 0.000057
 17   | RE 199198             | ELLEN GRACIE    | N | 0.000057
 18   | RMS 23692             | ELLEN GRACIE    | N | 0.000057
 19   | INQ 1739              | ELLEN GRACIE    | N | 0.000057
 20   | ADI 2564              | ELLEN GRACIE    | N | 0.000057
 21   | MS 23754              | ELLEN GRACIE    | N | 0.000057
 22   | ADI 2713              | ELLEN GRACIE    | N | 0.000057
 23   | HC 82337              | ELLEN GRACIE    | N | 0.000057
 24   | ADI 2103              | ELLEN GRACIE    | N | 0.000057
 25   | HC 82149              | ELLEN GRACIE    | N | 0.000057
 26   | HC 81054              | ELLEN GRACIE    | N | 0.000057
 27   | RMS 23787             | ELLEN GRACIE    | N | 0.000057
 28   | ADI 2666              | ELLEN GRACIE    | N | 0.000057
 29   | MS 23399              | ELLEN GRACIE    | N | 0.000057
 30   | ADI 3105              | ELLEN GRACIE    | N | 0.000043
 31   | ADI 3128              | ELLEN GRACIE    | N | 0.000043
 32   | ADI 953               | ELLEN GRACIE    | N | 0.000043
 33   | ADI 329               | ELLEN GRACIE    | N | 0.000043
 34   | ADI 743               | ELLEN GRACIE    | N | 0.000043
 35   | HC 83455              | ELLEN GRACIE    | N | 0.000028
 36   | HC 83456              | ELLEN GRACIE    | N | 0.000028
 37   | ED AGR AI 505776      | ELLEN GRACIE    | N | 0.000028
 38   | AGR AI 394926         | ELLEN GRACIE    | S | 0.000028
 39   | AGR RE 285400         | ELLEN GRACIE    | S | 0.000028
 40   | SEGUNDOS ED AI 823070 | ELLEN GRACIE    | N | 0.000028
 41   | AGR AI 301923         | ILMAR GALVÃO    | S | 0.000028
 42   | RHC 105243            | ELLEN GRACIE    | N | 0.000028
 43   | AGR AI 539131         | ELLEN GRACIE    | N | 0.000028
 44   | AGR RE 350927         | ELLEN GRACIE    | S | 0.000028
 45   | AGR AI 631782         | ELLEN GRACIE    | N | 0.000028
 46   | AGR SS 2287           | ELLEN GRACIE    | N | 0.000028
 47   | AGR AI 333177         | MAURÍCIO CORRÊA | S | 0.000028
 48   | AGR AI 673472         | ELLEN GRACIE    | S | 0.000028
 49   | RHC 88291             | ELLEN GRACIE    | N | 0.000028
 50   | AGR AI 323945         | NELSON JOBIM    | S | 0.000028
 51   | ED AGR RE 449588      | ELLEN GRACIE    | N | 0.000028
 52   | ED AGR AI 594104      | ELLEN GRACIE    | N | 0.000028
 53   | AGR RE 353745         | ELLEN GRACIE    | N | 0.000028
 54   | AGR RE 575894         | ELLEN GRACIE    | N | 0.000028
 55   | ED RE 501182          | ELLEN GRACIE    | N | 0.000028
 56   | HC 104510             | ELLEN GRACIE    | N | 0.000028
 57   | 7 4 9 L C R           | MARCO AURÉLIO   | S | 0.000028
 58   | AGR AI 724344         | ELLEN GRACIE    | N | 0.000028
 59   | AGR AI 295212         | ELLEN GRACIE    | N | 0.000028
 60   | AGR RE 351298         | ELLEN GRACIE    | S | 0.000028
 61   | AGR RE 203286         | ELLEN GRACIE    | S | 0.000028
 62   | AGR RE 203282         | ELLEN GRACIE    | N | 0.000028
 63   | ED MS 24454           | ELLEN GRACIE    | N | 0.000028
 64   | AGR AI 472834         | ELLEN GRACIE    | S | 0.000028
 65   | AGR AI 277453         | ELLEN GRACIE    | S | 0.000028
 66   | AGR AI 430987         | ELLEN GRACIE    | N | 0.000028
 67   | AGR RE 303193         | ELLEN GRACIE    | N | 0.000028
 68   | AGR RE 220134         | ELLEN GRACIE    | N | 0.000028
 69   | AGR AI 667572         | ELLEN GRACIE    | N | 0.000028
 70   | AGR RE 242917         | ELLEN GRACIE    | S | 0.000028
 71   | AGR AI 468526         | ELLEN GRACIE    | N | 0.000028
 72   | ED RE 214695          | ELLEN GRACIE    | N | 0.000028
 73   | AGR RE 350213         | ELLEN GRACIE    | S | 0.000028
 74   | AGR AGR RE 231671     | ELLEN GRACIE    | N | 0.000028
 75   | HC 96189              | ELLEN GRACIE    | N | 0.000028
 76   | AGR RE 558755         | ELLEN GRACIE    | N | 0.000028
 77   | AGR RE 239499         | ELLEN GRACIE    | N | 0.000028
 78   | RE 498261             | ELLEN GRACIE    | N | 0.000028
 79   | AGR AI 326810         | ELLEN GRACIE    | S | 0.000028
 80   | HC 91407              | ELLEN GRACIE    | N | 0.000028
 81   | SEGUNDO AGR AI 580743 | ELLEN GRACIE    | N | 0.000028
 82   | AGR RE 270015         | ELLEN GRACIE    | S | 0.000028
 83   | AGR RE 270016         | ELLEN GRACIE    | S | 0.000028
 84   | ED ED AGR RE 169094   | ELLEN GRACIE    | N | 0.000028
 85   | AGR AI 666198         | ELLEN GRACIE    | N | 0.000028
 86   | RHC 95108             | ELLEN GRACIE    | N | 0.000028
 87   | AGR AI 630555         | ELLEN GRACIE    | N | 0.000028
 88   | HC 82478              | ELLEN GRACIE    | N | 0.000028
 89   | ED AGR RE 550520      | ELLEN GRACIE    | N | 0.000028
 90   | HC 100513             | ELLEN GRACIE    | N | 0.000028
 91   | ED AI 452953          | ELLEN GRACIE    | N | 0.000028
 92   | AGR AI 453630         | ELLEN GRACIE    | N | 0.000028
 93   | AGR RE 348126         | ELLEN GRACIE    | S | 0.000028
 94   | ED AGR RE 400560      | ELLEN GRACIE    | N | 0.000028
 95   | HC 91661              | ELLEN GRACIE    | N | 0.000028
 96   | HC 106200             | ELLEN GRACIE    | N | 0.000028
 97   | AGR RE 380540         | ELLEN GRACIE    | N | 0.000028
 98   | AGR AI 454947         | ELLEN GRACIE    | N | 0.000028
 99   | AGR AI 331058         | ELLEN GRACIE    | N | 0.000028
 100  | AGR RE 447350         | ELLEN GRACIE    | N | 0.000028


Iteração 2
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 ADI 872          | ELLEN GRACIE | N
 RE 199198        | ELLEN GRACIE | N
 ED AGR RE 449588 | ELLEN GRACIE | N
 AGR AI 430987    | ELLEN GRACIE | N
 ED AGR RE 550520 | ELLEN GRACIE | N
 AGR AI 453630    | ELLEN GRACIE | N
 HC 106200        | ELLEN GRACIE | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | MI 529                | CARLOS VELLOSO  | S | 0.493419
 2    | ADI 3013              | ELLEN GRACIE    | S | 0.328957
 3    | ADI 2031              | ELLEN GRACIE    | N | 0.000317
 4    | RE 275159             | ELLEN GRACIE    | N | 0.000127
 5    | RE 336680             | ELLEN GRACIE    | N | 0.000095
 6    | ADI 703               | ELLEN GRACIE    | N | 0.000095
 7    | ADI 2474              | ELLEN GRACIE    | N | 0.000063
 8    | RHC 80757             | ELLEN GRACIE    | N | 0.000063
 9    | HC 81214              | ELLEN GRACIE    | N | 0.000063
 10   | ADI 1541              | ELLEN GRACIE    | N | 0.000063
 11   | AR 1713               | ELLEN GRACIE    | N | 0.000063
 12   | HC 82588              | ELLEN GRACIE    | N | 0.000063
 13   | HC 79989              | ELLEN GRACIE    | N | 0.000063
 14   | RE 224283             | ELLEN GRACIE    | N | 0.000063
 15   | RE 226472             | ELLEN GRACIE    | N | 0.000063
 16   | RMS 23692             | ELLEN GRACIE    | N | 0.000063
 17   | INQ 1739              | ELLEN GRACIE    | N | 0.000063
 18   | ADI 2564              | ELLEN GRACIE    | N | 0.000063
 19   | MS 23754              | ELLEN GRACIE    | N | 0.000063
 20   | ADI 2713              | ELLEN GRACIE    | N | 0.000063
 21   | HC 82337              | ELLEN GRACIE    | N | 0.000063
 22   | ADI 2103              | ELLEN GRACIE    | N | 0.000063
 23   | HC 82149              | ELLEN GRACIE    | N | 0.000063
 24   | HC 81054              | ELLEN GRACIE    | N | 0.000063
 25   | RMS 23787             | ELLEN GRACIE    | N | 0.000063
 26   | ADI 2666              | ELLEN GRACIE    | N | 0.000063
 27   | MS 23399              | ELLEN GRACIE    | N | 0.000063
 28   | ADI 3105              | ELLEN GRACIE    | N | 0.000048
 29   | ADI 3128              | ELLEN GRACIE    | N | 0.000048
 30   | ADI 953               | ELLEN GRACIE    | N | 0.000048
 31   | ADI 329               | ELLEN GRACIE    | N | 0.000048
 32   | ADI 743               | ELLEN GRACIE    | N | 0.000048
 33   | HC 83455              | ELLEN GRACIE    | N | 0.000032
 34   | HC 83456              | ELLEN GRACIE    | N | 0.000032
 35   | ED AGR AI 505776      | ELLEN GRACIE    | N | 0.000032
 36   | AGR AI 394926         | ELLEN GRACIE    | S | 0.000032
 37   | AGR RE 285400         | ELLEN GRACIE    | S | 0.000032
 38   | SEGUNDOS ED AI 823070 | ELLEN GRACIE    | N | 0.000032
 39   | AGR AI 301923         | ILMAR GALVÃO    | S | 0.000032
 40   | RHC 105243            | ELLEN GRACIE    | N | 0.000032
 41   | AGR AI 539131         | ELLEN GRACIE    | N | 0.000032
 42   | AGR RE 350927         | ELLEN GRACIE    | S | 0.000032
 43   | AGR AI 631782         | ELLEN GRACIE    | N | 0.000032
 44   | AGR SS 2287           | ELLEN GRACIE    | N | 0.000032
 45   | AGR AI 333177         | MAURÍCIO CORRÊA | S | 0.000032
 46   | AGR AI 673472         | ELLEN GRACIE    | S | 0.000032
 47   | RHC 88291             | ELLEN GRACIE    | N | 0.000032
 48   | AGR AI 323945         | NELSON JOBIM    | S | 0.000032
 49   | ED AGR AI 594104      | ELLEN GRACIE    | N | 0.000032
 50   | AGR RE 353745         | ELLEN GRACIE    | N | 0.000032
 51   | AGR RE 575894         | ELLEN GRACIE    | N | 0.000032
 52   | ED RE 501182          | ELLEN GRACIE    | N | 0.000032
 53   | HC 104510             | ELLEN GRACIE    | N | 0.000032
 54   | 7 4 9 L C R           | MARCO AURÉLIO   | S | 0.000032
 55   | AGR AI 724344         | ELLEN GRACIE    | N | 0.000032
 56   | AGR AI 295212         | ELLEN GRACIE    | N | 0.000032
 57   | AGR RE 351298         | ELLEN GRACIE    | S | 0.000032
 58   | AGR RE 203286         | ELLEN GRACIE    | S | 0.000032
 59   | AGR RE 203282         | ELLEN GRACIE    | N | 0.000032
 60   | ED MS 24454           | ELLEN GRACIE    | N | 0.000032
 61   | AGR AI 472834         | ELLEN GRACIE    | S | 0.000032
 62   | AGR AI 277453         | ELLEN GRACIE    | S | 0.000032
 63   | AGR RE 303193         | ELLEN GRACIE    | N | 0.000032
 64   | AGR RE 220134         | ELLEN GRACIE    | N | 0.000032
 65   | AGR AI 667572         | ELLEN GRACIE    | N | 0.000032
 66   | AGR RE 242917         | ELLEN GRACIE    | S | 0.000032
 67   | AGR AI 468526         | ELLEN GRACIE    | N | 0.000032
 68   | ED RE 214695          | ELLEN GRACIE    | N | 0.000032
 69   | AGR RE 350213         | ELLEN GRACIE    | S | 0.000032
 70   | AGR AGR RE 231671     | ELLEN GRACIE    | N | 0.000032
 71   | HC 96189              | ELLEN GRACIE    | N | 0.000032
 72   | AGR RE 558755         | ELLEN GRACIE    | N | 0.000032
 73   | AGR RE 239499         | ELLEN GRACIE    | N | 0.000032
 74   | RE 498261             | ELLEN GRACIE    | N | 0.000032
 75   | AGR AI 326810         | ELLEN GRACIE    | S | 0.000032
 76   | HC 91407              | ELLEN GRACIE    | N | 0.000032
 77   | SEGUNDO AGR AI 580743 | ELLEN GRACIE    | N | 0.000032
 78   | AGR RE 270015         | ELLEN GRACIE    | S | 0.000032
 79   | AGR RE 270016         | ELLEN GRACIE    | S | 0.000032
 80   | ED ED AGR RE 169094   | ELLEN GRACIE    | N | 0.000032
 81   | AGR AI 666198         | ELLEN GRACIE    | N | 0.000032
 82   | RHC 95108             | ELLEN GRACIE    | N | 0.000032
 83   | AGR AI 630555         | ELLEN GRACIE    | N | 0.000032
 84   | HC 82478              | ELLEN GRACIE    | N | 0.000032
 85   | HC 100513             | ELLEN GRACIE    | N | 0.000032
 86   | ED AI 452953          | ELLEN GRACIE    | N | 0.000032
 87   | AGR RE 348126         | ELLEN GRACIE    | S | 0.000032
 88   | ED AGR RE 400560      | ELLEN GRACIE    | N | 0.000032
 89   | HC 91661              | ELLEN GRACIE    | N | 0.000032
 90   | AGR RE 380540         | ELLEN GRACIE    | N | 0.000032
 91   | AGR AI 454947         | ELLEN GRACIE    | N | 0.000032
 92   | AGR AI 331058         | ELLEN GRACIE    | N | 0.000032
 93   | AGR RE 447350         | ELLEN GRACIE    | N | 0.000032
 94   | ED AGR AI 388132      | ELLEN GRACIE    | S | 0.000032
 95   | AGR AI 410922         | ELLEN GRACIE    | S | 0.000032
