Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 4060               | LUIZ FUX | N | 0.001814
 2    | AGR ARE 803735         | LUIZ FUX | N | 0.000273
 3    | AGR ARE 664930         | LUIZ FUX | N | 0.000273
 4    | RHC 115986             | LUIZ FUX | N | 0.000273
 5    | ED AGR ARE 744445      | LUIZ FUX | N | 0.000273
 6    | AGR ARE 672420         | LUIZ FUX | N | 0.000273
 7    | AGR AI 705559          | LUIZ FUX | N | 0.000273
 8    | AGR AI 772265          | LUIZ FUX | N | 0.000273
 9    | HC 110133              | LUIZ FUX | N | 0.000273
 10   | AGR RMS 32379          | LUIZ FUX | N | 0.000273
 11   | AGR RE 798793          | LUIZ FUX | N | 0.000273
 12   | ED AI 789963           | LUIZ FUX | N | 0.000273
 13   | HC 109676              | LUIZ FUX | N | 0.000273
 14   | AGR RMS 32380          | LUIZ FUX | N | 0.000273
 15   | AGR HC 119554          | LUIZ FUX | N | 0.000273
 16   | ED AGR RCL 21333       | LUIZ FUX | N | 0.000273
 17   | RHC 117699             | LUIZ FUX | N | 0.000273
 18   | AGR ARE 843663         | LUIZ FUX | N | 0.000273
 19   | AGR RCL 23616          | LUIZ FUX | N | 0.000273
 20   | AGR EXT 1414           | LUIZ FUX | N | 0.000273
 21   | AGR ARE 799983         | LUIZ FUX | N | 0.000273
 22   | AGR RCL 2627           | LUIZ FUX | N | 0.000273
 23   | AGR RE 762466          | LUIZ FUX | N | 0.000273
 24   | ED AI 739772           | LUIZ FUX | N | 0.000273
 25   | AGR ARE 842599         | LUIZ FUX | N | 0.000273
 26   | AGR ARE 649711         | LUIZ FUX | N | 0.000273
 27   | AGR ARE 790427         | LUIZ FUX | N | 0.000273
 28   | AGR ARE 766977         | LUIZ FUX | N | 0.000273
 29   | RHC 122182             | LUIZ FUX | N | 0.000273
 30   | AGR ARE 914504         | LUIZ FUX | N | 0.000273
