Descrição de informações da simulação do page rank por iteração

Iteração 1
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 99   | HC 105743              | GILMAR MENDES | N | 0.000025
 100  | AGR AI 547430          | GILMAR MENDES | S | 0.000025


Iteração 2
IDs presentes na iteraçao anterior e que foram removidos na simulação da iteração atual
DECISION ID | RELATOR | VIRTUAL
 MI 708        | GILMAR MENDES | N
 RE 637485     | GILMAR MENDES | N
 AGR AI 756974 | GILMAR MENDES | N
 AGR AI 497927 | GILMAR MENDES | N
 ED EXT 1461   | GILMAR MENDES | N
 HC 127488     | GILMAR MENDES | N

RANK | DECISION ID | RELATOR | VIRTUAL | PAGE RANK
 1    | ADI 2724               | GILMAR MENDES | N | 0.274395
 2    | ADI 1571               | GILMAR MENDES | N | 0.274395
 3    | RE 638115              | GILMAR MENDES | N | 0.274395
 4    | HC 110892              | GILMAR MENDES | N | 0.000083
 5    | HC 104410              | GILMAR MENDES | N | 0.000083
 6    | RCL 1831               | GILMAR MENDES | N | 0.000056
 7    | RCL 4374               | GILMAR MENDES | N | 0.000056
 8    | ADI 874                | GILMAR MENDES | N | 0.000056
 9    | RE 560626              | GILMAR MENDES | N | 0.000056
 10   | ADI 1957               | GILMAR MENDES | N | 0.000056
 11   | RE 556664              | GILMAR MENDES | N | 0.000056
 12   | RMS 23586              | GILMAR MENDES | N | 0.000056
 13   | HC 82336               | GILMAR MENDES | N | 0.000056
 14   | RE 372503              | GILMAR MENDES | N | 0.000056
 15   | HC 82297               | GILMAR MENDES | N | 0.000056
 16   | RHC 117988             | GILMAR MENDES | N | 0.000056
 17   | RE 543389              | GILMAR MENDES | N | 0.000056
 18   | AGR RE 453105          | GILMAR MENDES | N | 0.000028
 19   | AGR RE 467929          | GILMAR MENDES | N | 0.000028
 20   | HC 106448              | GILMAR MENDES | N | 0.000028
 21   | AGR RE 283832          | GILMAR MENDES | N | 0.000028
 22   | HC 106447              | GILMAR MENDES | N | 0.000028
 23   | AGR RE 475718          | GILMAR MENDES | N | 0.000028
 24   | AGR RE 311761          | GILMAR MENDES | N | 0.000028
 25   | AGR RE 353294          | GILMAR MENDES | N | 0.000028
 26   | RHC 117697             | GILMAR MENDES | N | 0.000028
 27   | AGR AI 638807          | GILMAR MENDES | N | 0.000028
 28   | HC 131442              | GILMAR MENDES | N | 0.000028
 29   | AGR AI 419840          | GILMAR MENDES | S | 0.000028
 30   | AGR AI 400287          | GILMAR MENDES | N | 0.000028
 31   | ED ARE 766359          | GILMAR MENDES | N | 0.000028
 32   | AGR ARE 794670         | GILMAR MENDES | N | 0.000028
 33   | AGR AI 461842          | GILMAR MENDES | S | 0.000028
 34   | ED AGR AI 416939       | GILMAR MENDES | S | 0.000028
 35   | ED RE 475370           | GILMAR MENDES | N | 0.000028
 36   | RHC 115044             | GILMAR MENDES | N | 0.000028
 37   | RCL 11305              | GILMAR MENDES | N | 0.000028
 38   | AGR RE 357045          | GILMAR MENDES | S | 0.000028
 39   | AGR AI 840377          | GILMAR MENDES | N | 0.000028
 40   | ED AGR AI 742560       | GILMAR MENDES | S | 0.000028
 41   | ED RCL 12316           | GILMAR MENDES | N | 0.000028
 42   | ADI 3739               | GILMAR MENDES | N | 0.000028
 43   | HC 104512              | GILMAR MENDES | N | 0.000028
 44   | ED AGR AI 481358       | GILMAR MENDES | S | 0.000028
 45   | ED AGR AI 428726       | GILMAR MENDES | N | 0.000028
 46   | AGR AI 828074          | GILMAR MENDES | N | 0.000028
 47   | ED RCL 11362           | GILMAR MENDES | N | 0.000028
 48   | AGR ARE 674801         | GILMAR MENDES | N | 0.000028
 49   | ED AGR AI 406993       | GILMAR MENDES | N | 0.000028
